10
43 90 41 39 79 50 20 66 42 33 
53 61 82 73 44 63 71 98 42 34 
56 1 36 57 91 33 26 95 58 26 
14 1 16 8 93 47 58 13 13 52 
99 67 13 81 92 9 44 16 60 39 
2 16 40 39 25 83 24 52 78 34 
78 44 35 47 52 80 94 62 94 60 
14 93 79 79 26 71 89 71 87 1 
62 90 69 2 81 95 85 57 47 15 
91 77 59 78 24 12 59 71 74 5 
31 41 50 10 20 76 33 61 99 73 
14 61 15 84 15 48 79 0 5 26 
15 48 55 75 78 32 39 37 3 65 
94 86 58 44 48 79 73 81 92 72 
6 7 86 21 43 1 69 22 2 26 
0 69 74 55 96 53 39 87 42 42 
53 37 80 11 33 28 42 6 62 87 
31 68 46 17 42 89 18 11 63 72 
38 63 94 12 70 42 17 10 30 60 
4 35 49 85 98 82 65 93 41 27 
