40
18 4 5 32 10 53 45 4 41 18 13 27 34 10 53 47 58 22 47 22 6 21 27 52 4 55 32 21 21 58 13 31 54 19 3 4 4 40 0 46 
51 5 5 17 15 59 4 6 21 51 28 19 5 56 12 1 43 36 22 56 26 36 27 20 47 23 16 51 3 8 37 54 14 35 11 21 34 15 27 47 
59 56 6 56 44 10 57 27 46 19 15 12 47 42 24 34 5 40 18 1 49 55 55 3 22 59 24 56 6 44 43 57 40 50 53 24 52 42 43 39 
2 58 43 41 32 0 16 38 40 34 31 29 21 26 24 44 17 41 32 16 25 16 13 57 58 59 13 42 41 56 13 35 46 57 17 18 57 25 48 29 
51 19 51 12 38 7 48 55 48 21 3 5 29 9 2 19 8 15 1 41 3 15 17 49 4 34 0 53 51 48 22 42 8 5 54 46 13 35 33 53 
48 29 59 17 38 53 36 46 1 37 27 4 44 36 46 48 10 46 41 53 34 4 35 34 9 22 12 14 57 46 8 45 15 7 54 45 52 30 31 53 
59 50 50 44 27 36 32 29 14 6 23 48 2 58 15 3 20 27 18 9 5 26 54 12 25 40 57 17 10 20 3 2 11 53 38 38 21 2 59 35 
8 22 15 10 13 30 14 25 58 24 35 55 50 21 8 15 2 5 24 4 26 27 6 29 12 44 59 33 47 58 8 55 21 16 58 26 46 4 51 36 
28 26 32 18 40 32 25 42 29 41 46 55 9 45 16 21 29 15 47 8 14 55 56 27 11 54 53 50 58 36 18 26 55 50 36 35 22 53 17 52 
34 55 39 35 40 48 49 10 3 36 10 9 23 6 36 27 0 21 17 50 50 35 8 45 18 36 20 32 29 29 16 4 24 48 31 5 36 20 7 39 
56 17 49 20 24 17 39 16 31 56 59 21 23 7 6 41 36 18 14 5 47 22 1 11 10 33 16 46 53 23 26 42 33 7 54 57 16 33 5 47 
21 4 0 44 4 6 26 40 24 32 45 11 54 39 15 5 12 31 43 57 47 1 31 20 8 25 9 17 50 14 4 11 19 5 48 23 3 6 55 20 
38 40 31 24 11 46 21 15 10 5 13 49 6 36 9 7 54 18 24 44 32 28 48 43 25 36 58 29 42 53 49 12 26 12 28 37 51 50 53 53 
47 58 42 53 26 43 0 20 1 16 57 25 37 37 1 2 5 59 23 39 53 4 51 19 9 19 48 0 1 33 45 48 31 27 34 50 10 34 10 3 
43 59 20 20 36 21 14 41 21 38 20 6 34 3 17 43 15 57 35 16 31 20 57 54 39 31 44 41 57 55 44 40 54 5 0 23 18 15 4 39 
45 17 37 19 20 46 55 35 44 30 44 15 43 41 9 14 12 54 56 9 41 40 42 27 37 42 50 56 49 47 27 34 4 5 46 24 51 41 52 35 
3 28 42 46 9 52 1 13 38 49 14 19 29 56 38 7 31 29 55 20 16 22 47 20 19 33 36 3 14 20 30 17 48 13 56 49 57 49 54 35 
38 9 46 7 57 24 6 20 45 53 41 53 16 28 5 27 1 42 30 7 54 1 24 43 14 20 32 3 9 27 38 47 28 16 47 17 32 45 38 18 
